Age,Job,MaritalStatus,EducationLevel,CurrentCustomer,UsesRelevantService,ContactMeans,ContactDay,ContactMonth,ContactsTotal,DaysFromPrevAttempt,PrevAttempts,PrevOutcome,CallStartTime,CallEndTime,Outcome
31,technician,married,secondary,0,0,mobile-phone,19,aug,4,-1,0,,16:45:59,16:55:10,0
35,engineer,married,secondary,1,0,mobile-phone,5,may,3,337,1,other,15:05:16,15:19:38,1
53,data analyst,married,primary,1,0,telephone,2,feb,1,217,2,failure,13:52:05,13:52:50,0
35,construction worker,married,primary,1,0,,23,may,8,-1,0,,11:39:19,12:01:48,1
49,data analyst,married,tertiary,0,0,mobile-phone,2,mar,3,-1,0,,09:24:54,09:26:54,1
54,construction worker,divorced,secondary,1,0,mobile-phone,7,jul,3,-1,0,,12:19:37,12:21:45,0
51,retired,married,primary,0,0,,18,jun,1,-1,0,,15:46:22,16:00:17,1
30,technician,married,secondary,1,0,mobile-phone,30,apr,1,-1,0,,14:42:56,14:46:52,0
56,civil servant,single,secondary,1,0,mobile-phone,15,may,1,368,2,failure,12:51:28,12:56:39,1
39,engineer,married,secondary,1,1,mobile-phone,19,nov,3,117,2,other,16:52:47,16:57:34,0
23,technician,single,secondary,1,1,,6,jun,5,-1,0,,09:46:28,09:47:34,0
46,technician,married,secondary,0,0,telephone,29,aug,2,-1,0,,11:26:55,11:28:16,0
57,self-employed,married,tertiary,1,0,mobile-phone,18,nov,1,-1,0,,13:53:56,13:55:15,0
31,unemployed,married,secondary,1,0,mobile-phone,20,nov,3,178,7,failure,14:21:17,14:43:38,1
38,self-employed,married,tertiary,1,0,mobile-phone,18,nov,2,-1,0,,12:01:52,12:04:49,0
35,technician,single,secondary,0,0,mobile-phone,20,aug,2,-1,0,,13:24:27,13:26:18,0
32,technician,divorced,tertiary,0,0,mobile-phone,22,aug,2,-1,0,,15:18:48,15:29:59,1
31,technician,single,tertiary,0,1,mobile-phone,20,nov,2,183,1,failure,16:28:21,16:32:06,0
31,data analyst,married,tertiary,0,0,mobile-phone,12,oct,4,165,14,success,09:55:11,09:58:34,1
18,student,single,,0,0,mobile-phone,9,feb,1,183,1,success,09:33:37,09:35:09,1
40,data analyst,married,tertiary,0,0,mobile-phone,4,aug,1,-1,0,,11:53:38,11:57:50,0
29,student,single,tertiary,0,0,mobile-phone,15,jul,5,-1,0,,12:33:45,12:48:34,1
43,data analyst,married,tertiary,0,1,,20,jun,4,-1,0,,13:33:19,13:36:35,0
57,construction worker,married,,1,0,,16,may,6,-1,0,,14:26:38,14:30:58,0
25,civil servant,married,secondary,1,0,mobile-phone,7,may,1,294,1,failure,09:03:11,09:04:02,0
39,entrepreneur,divorced,secondary,1,0,mobile-phone,7,may,1,-1,0,,11:53:29,12:00:15,0
28,technician,single,secondary,1,0,mobile-phone,12,may,1,343,1,other,15:36:55,15:41:01,0
29,technician,single,secondary,1,0,mobile-phone,13,apr,1,-1,0,,12:24:58,12:42:14,1
61,data analyst,married,tertiary,0,0,mobile-phone,21,oct,3,184,1,success,09:38:35,09:41:47,1
38,technician,single,tertiary,0,0,telephone,2,aug,2,185,6,call-again,16:35:02,16:37:23,0
33,construction worker,married,secondary,1,0,mobile-phone,18,jul,2,-1,0,,09:05:23,09:10:01,1
30,engineer,married,primary,1,0,,28,may,2,-1,0,,12:09:04,12:11:09,0
42,data analyst,single,tertiary,1,0,,12,may,3,-1,0,,09:31:31,09:36:56,0
58,civil servant,married,secondary,0,0,telephone,25,mar,2,-1,0,,16:13:32,16:18:14,0
45,construction worker,single,secondary,0,0,mobile-phone,5,aug,2,472,1,success,17:33:37,17:39:51,1
65,retired,married,primary,0,0,mobile-phone,28,oct,1,-1,0,,11:01:05,11:07:16,1
51,data analyst,married,tertiary,0,0,mobile-phone,12,nov,2,192,3,failure,13:50:29,13:52:43,1
44,technician,married,secondary,0,0,mobile-phone,28,jan,2,247,3,failure,16:32:17,16:43:49,0
33,construction worker,married,primary,1,1,mobile-phone,9,jul,4,-1,0,,17:10:35,17:32:05,1
35,engineer,married,secondary,1,0,mobile-phone,9,apr,1,-1,0,,17:59:24,18:02:58,1
55,entrepreneur,married,primary,1,0,,8,may,3,-1,0,,09:19:09,09:21:33,0
47,construction worker,married,primary,1,0,mobile-phone,13,may,1,-1,0,,10:22:20,10:24:29,0
26,technician,single,secondary,1,0,mobile-phone,15,may,1,368,4,failure,17:36:35,17:38:21,0
32,construction worker,married,primary,1,0,mobile-phone,11,may,3,-1,0,,15:46:58,15:49:08,0
33,technician,married,secondary,0,1,mobile-phone,7,aug,2,-1,0,,09:41:52,09:44:53,0
38,technician,married,secondary,1,0,,26,may,4,-1,0,,14:39:05,14:40:58,0
37,data analyst,divorced,tertiary,1,0,,19,may,2,-1,0,,12:36:04,13:03:06,1
37,retired,married,secondary,1,0,mobile-phone,25,jul,2,-1,0,,16:48:14,16:53:49,0
38,technician,married,secondary,1,1,mobile-phone,17,jul,2,-1,0,,17:52:55,17:59:23,0
27,construction worker,single,secondary,0,0,mobile-phone,15,feb,1,91,2,success,13:21:03,13:23:54,1
80,retired,divorced,primary,0,0,telephone,26,apr,8,-1,0,,10:34:55,10:36:27,0
37,construction worker,married,primary,1,0,mobile-phone,5,feb,2,258,4,failure,14:23:53,14:26:00,0
79,retired,divorced,secondary,0,0,telephone,9,aug,5,182,3,failure,13:31:12,13:38:32,0
56,retired,married,primary,0,0,mobile-phone,4,may,2,-1,0,,15:33:30,15:43:47,1
52,civil servant,married,secondary,1,0,mobile-phone,27,oct,1,515,1,failure,12:06:58,12:14:02,1
39,data analyst,divorced,tertiary,0,0,mobile-phone,21,nov,1,-1,0,,14:54:56,15:05:44,1
33,construction worker,married,secondary,0,0,mobile-phone,4,feb,3,-1,0,,09:12:27,09:14:53,1
53,technician,divorced,secondary,1,0,,29,may,1,-1,0,,17:36:25,17:37:55,0
49,engineer,divorced,secondary,0,1,mobile-phone,5,aug,1,-1,0,,11:09:27,11:12:58,1
30,technician,single,secondary,1,0,mobile-phone,18,jul,5,-1,0,,15:31:18,15:37:10,0
39,civil servant,married,secondary,1,1,,21,may,3,-1,0,,13:11:53,13:15:53,0
46,data analyst,married,primary,1,1,mobile-phone,18,nov,2,-1,0,,09:00:55,09:04:02,0
50,,married,,0,0,mobile-phone,4,aug,1,-1,0,,14:36:57,14:39:34,0
46,engineer,divorced,secondary,0,0,mobile-phone,13,feb,1,-1,0,,15:12:15,15:14:16,1
44,data analyst,single,tertiary,0,0,mobile-phone,19,jul,4,532,2,call-again,15:09:06,15:12:30,1
28,construction worker,married,secondary,1,0,mobile-phone,20,apr,2,326,1,other,12:25:41,12:38:35,0
48,retired,married,primary,1,0,mobile-phone,1,jun,1,-1,0,,09:53:55,09:58:17,0
48,technician,married,secondary,0,1,mobile-phone,23,jul,1,-1,0,,09:50:56,09:57:07,0
42,civil servant,married,secondary,1,0,,6,may,2,-1,0,,13:12:09,13:14:03,0
26,civil servant,married,secondary,1,0,mobile-phone,18,may,4,-1,0,,15:31:25,15:33:35,0
27,student,single,tertiary,0,0,mobile-phone,12,nov,2,92,2,failure,17:31:27,17:34:39,1
44,construction worker,married,secondary,1,0,mobile-phone,18,may,5,178,3,call-again,15:15:39,15:15:57,0
37,engineer,single,tertiary,1,0,mobile-phone,17,mar,1,-1,0,,13:00:02,13:03:17,1
53,civil servant,married,secondary,1,0,mobile-phone,7,aug,2,-1,0,,13:46:59,13:50:20,0
47,data analyst,single,tertiary,0,0,mobile-phone,15,jul,2,-1,0,,10:52:19,10:53:57,0
45,data analyst,single,tertiary,0,0,mobile-phone,29,jan,11,-1,0,,09:46:03,09:54:02,1
48,construction worker,married,secondary,1,0,,14,may,2,-1,0,,10:50:14,11:00:43,1
36,technician,single,secondary,0,0,mobile-phone,25,aug,3,-1,0,,14:49:55,14:51:23,0
45,technician,married,secondary,0,1,mobile-phone,20,nov,3,-1,0,,09:15:25,09:16:13,0
35,technician,single,secondary,1,0,mobile-phone,30,nov,3,189,1,success,10:06:47,10:08:37,0
37,data analyst,married,tertiary,0,0,mobile-phone,2,mar,1,182,1,success,15:28:50,15:32:39,1
34,engineer,single,tertiary,0,1,,31,aug,1,-1,0,,11:36:43,11:37:17,1
46,data analyst,married,tertiary,1,1,mobile-phone,18,nov,1,183,2,failure,17:44:33,17:45:23,0
22,student,single,secondary,0,0,mobile-phone,1,sep,1,-1,0,,12:35:09,12:40:36,1
31,data analyst,divorced,tertiary,1,0,mobile-phone,17,jul,5,-1,0,,14:54:35,15:03:31,1
59,data analyst,married,tertiary,1,0,mobile-phone,7,jul,3,-1,0,,15:31:40,15:52:52,1
23,retired,married,tertiary,1,0,mobile-phone,7,may,2,-1,0,,09:25:35,09:48:46,1
31,technician,married,secondary,1,0,mobile-phone,14,jul,3,-1,0,,17:07:31,17:14:55,1
38,data analyst,single,tertiary,0,1,mobile-phone,20,nov,1,-1,0,,10:54:55,10:59:56,0
39,data analyst,married,secondary,1,0,,30,may,1,-1,0,,13:57:20,14:02:26,0
36,technician,married,secondary,1,0,mobile-phone,19,aug,2,-1,0,,13:11:26,13:16:32,0
43,data analyst,single,tertiary,1,0,mobile-phone,18,nov,2,151,14,failure,14:09:31,14:11:57,0
73,retired,married,,0,0,mobile-phone,11,sep,1,-1,0,,13:35:30,13:39:00,1
43,construction worker,single,primary,0,0,mobile-phone,9,jul,1,-1,0,,09:23:23,09:44:05,1
37,data analyst,married,tertiary,0,0,mobile-phone,6,aug,2,92,4,success,12:38:51,12:43:54,1
45,technician,married,secondary,1,1,,20,jun,4,-1,0,,13:36:58,13:37:44,0
60,retired,married,tertiary,0,0,mobile-phone,26,may,2,112,2,failure,10:05:02,10:06:36,0
31,engineer,married,secondary,0,0,mobile-phone,6,may,1,-1,0,,10:51:58,10:56:55,0
48,retired,married,tertiary,1,0,,14,may,1,-1,0,,09:54:47,09:58:27,0
36,entrepreneur,single,tertiary,1,0,mobile-phone,29,jan,1,227,3,failure,11:27:35,11:29:14,0
39,construction worker,married,secondary,1,0,,3,jun,1,-1,0,,16:36:44,16:39:07,0
31,data analyst,married,tertiary,0,0,mobile-phone,12,aug,1,104,1,success,17:37:32,17:39:24,0
32,data analyst,married,tertiary,0,0,,3,jul,1,-1,0,,09:29:32,09:31:28,0
55,civil servant,married,secondary,1,0,,15,may,1,-1,0,,14:28:41,14:32:07,0
53,construction worker,divorced,primary,0,0,telephone,11,aug,1,-1,0,,14:28:46,14:33:00,1
31,technician,single,tertiary,0,0,mobile-phone,25,aug,4,-1,0,,13:55:22,13:57:08,0
29,data analyst,married,tertiary,0,0,mobile-phone,28,jan,1,-1,0,,09:34:55,09:36:05,0
38,data analyst,married,tertiary,1,0,,21,may,2,-1,0,,12:27:07,12:29:51,0
71,retired,married,tertiary,0,0,telephone,3,sep,1,189,1,success,13:40:00,13:47:51,1
48,data analyst,divorced,tertiary,1,0,mobile-phone,29,sep,2,61,9,failure,12:30:06,12:31:56,0
56,technician,married,secondary,1,0,,15,may,1,-1,0,,10:56:02,10:59:58,0
38,technician,married,tertiary,0,0,mobile-phone,19,aug,4,-1,0,,14:41:55,14:44:16,0
33,data analyst,single,tertiary,0,0,mobile-phone,6,may,2,-1,0,,09:23:09,09:29:11,0
55,entrepreneur,divorced,secondary,0,0,mobile-phone,30,jul,3,-1,0,,10:50:28,10:51:53,0
27,data analyst,married,secondary,0,0,mobile-phone,4,jun,1,-1,0,,14:02:28,14:09:57,1
35,construction worker,single,primary,1,0,mobile-phone,18,may,1,-1,0,,12:00:44,12:03:42,0
37,data analyst,married,primary,0,0,mobile-phone,2,nov,3,80,3,success,12:00:08,12:01:49,0
55,unemployed,single,tertiary,1,0,,8,may,1,-1,0,,17:02:58,17:03:58,0
67,retired,divorced,secondary,0,0,mobile-phone,8,feb,2,97,1,success,14:59:07,15:02:13,1
29,engineer,single,secondary,1,0,,12,may,1,-1,0,,15:21:33,15:29:13,0
32,data analyst,married,secondary,1,0,,29,may,2,-1,0,,17:09:51,17:12:00,0
38,data analyst,married,tertiary,1,0,mobile-phone,6,may,2,250,2,failure,17:13:44,17:15:16,0
34,technician,married,secondary,1,0,mobile-phone,18,oct,1,-1,0,,16:01:05,16:05:17,1
56,retired,married,,0,0,mobile-phone,8,sep,1,92,2,failure,16:59:14,17:02:01,0
30,technician,single,secondary,1,0,mobile-phone,15,may,2,354,1,failure,11:24:35,11:27:54,0
28,technician,single,tertiary,1,0,mobile-phone,29,jan,2,262,3,failure,09:04:31,09:08:19,0
25,student,single,secondary,0,0,mobile-phone,5,feb,7,-1,0,,14:37:59,14:41:45,1
39,civil servant,married,secondary,1,1,mobile-phone,12,may,1,351,3,failure,13:47:44,13:58:42,1
58,construction worker,married,primary,0,0,telephone,16,jul,6,-1,0,,11:54:53,12:04:11,0
29,civil servant,single,secondary,0,0,mobile-phone,14,jul,3,-1,0,,10:18:44,10:19:30,0
27,unemployed,single,primary,0,0,mobile-phone,26,may,1,-1,0,,15:13:03,15:14:46,0
25,technician,single,secondary,0,1,mobile-phone,17,nov,2,-1,0,,17:49:23,17:55:49,1
21,construction worker,single,secondary,1,1,,4,jun,1,-1,0,,16:47:35,16:48:58,0
86,retired,single,secondary,0,0,telephone,9,dec,1,-1,0,,14:37:03,14:46:58,1
42,construction worker,single,primary,1,0,mobile-phone,14,may,4,365,1,failure,17:26:04,17:28:00,0
45,technician,married,secondary,1,0,,16,may,2,-1,0,,17:47:00,17:57:56,0
43,data analyst,divorced,secondary,0,0,mobile-phone,2,feb,1,-1,0,,11:35:46,11:42:56,1
29,engineer,married,secondary,1,0,,4,jun,1,-1,0,,11:37:53,11:43:48,0
25,construction worker,single,secondary,0,1,mobile-phone,10,jul,7,-1,0,,15:59:33,16:21:54,1
37,data analyst,married,tertiary,1,1,mobile-phone,17,apr,1,149,2,failure,10:22:14,10:23:25,0
47,construction worker,married,secondary,1,1,mobile-phone,12,may,2,-1,0,,14:56:02,15:00:51,1
45,technician,married,secondary,0,0,mobile-phone,21,nov,1,-1,0,,16:10:30,16:13:57,0
48,self-employed,single,,0,0,,18,jun,1,-1,0,,09:42:36,09:50:09,0
49,technician,married,secondary,0,0,mobile-phone,19,aug,8,-1,0,,15:33:44,15:55:17,1
58,engineer,divorced,secondary,1,0,telephone,8,oct,2,690,3,failure,14:42:18,14:48:27,1
30,unemployed,single,tertiary,0,0,telephone,5,jun,1,-1,0,,16:27:17,16:33:23,1
53,engineer,married,secondary,0,0,mobile-phone,9,nov,1,-1,0,,11:54:36,11:57:34,1
33,data analyst,divorced,tertiary,1,1,mobile-phone,11,may,9,306,1,other,15:02:59,15:04:21,0
35,civil servant,married,secondary,1,0,,1,jul,1,-1,0,,10:03:37,10:05:25,0
43,civil servant,single,secondary,0,0,,5,jun,2,-1,0,,13:52:47,13:55:35,0
48,data analyst,married,tertiary,0,0,telephone,10,nov,1,-1,0,,10:54:38,10:58:46,1
34,self-employed,single,tertiary,0,0,mobile-phone,21,aug,3,-1,0,,13:23:18,13:54:35,1
40,data analyst,single,tertiary,1,0,mobile-phone,24,sep,2,409,2,success,10:02:32,10:06:24,1
57,data analyst,married,tertiary,1,1,,20,jun,1,-1,0,,15:19:46,15:46:43,1
37,data analyst,married,secondary,0,1,mobile-phone,17,nov,2,151,2,failure,14:18:35,14:22:06,0
34,construction worker,single,secondary,1,0,,23,may,2,-1,0,,17:15:18,17:21:11,0
39,data analyst,married,tertiary,0,0,mobile-phone,21,nov,2,-1,0,,16:54:47,16:56:54,0
25,student,single,tertiary,0,0,mobile-phone,4,may,1,-1,0,,14:02:53,14:12:50,1
29,construction worker,married,secondary,0,0,mobile-phone,2,feb,1,-1,0,,17:29:37,17:32:10,0
32,data analyst,single,tertiary,0,0,mobile-phone,3,feb,2,-1,0,,17:26:37,17:34:00,1
34,technician,single,secondary,0,0,mobile-phone,10,aug,3,182,2,success,13:26:03,13:31:59,1
34,data analyst,married,tertiary,0,0,mobile-phone,8,apr,2,160,5,other,15:43:26,15:56:04,1
30,technician,single,tertiary,1,0,mobile-phone,5,jun,2,-1,0,,11:57:38,12:00:17,1
34,self-employed,married,tertiary,1,0,mobile-phone,30,apr,1,164,2,other,17:58:04,17:59:13,0
48,unemployed,married,primary,1,0,,2,jun,3,-1,0,,17:30:25,17:36:10,0
43,technician,married,tertiary,0,0,telephone,4,may,5,-1,0,,12:08:39,12:14:10,1
51,engineer,married,secondary,0,0,mobile-phone,7,may,1,352,1,other,14:55:30,15:03:26,1
35,civil servant,married,secondary,0,0,,9,jun,4,-1,0,,12:23:57,12:31:56,0
30,student,single,,0,0,mobile-phone,20,nov,5,171,2,failure,12:26:32,12:26:58,0
56,technician,married,secondary,0,0,,19,jun,1,-1,0,,10:42:27,10:47:15,0
43,data analyst,married,tertiary,0,0,mobile-phone,28,dec,2,196,2,success,17:07:42,17:11:08,1
58,retired,married,secondary,1,0,mobile-phone,7,may,2,-1,0,,09:39:34,09:43:23,0
33,engineer,married,secondary,0,0,mobile-phone,14,aug,2,106,2,failure,15:22:17,15:26:05,0
71,retired,married,secondary,0,0,mobile-phone,17,feb,1,-1,0,,16:38:30,16:41:35,1
36,engineer,divorced,secondary,1,0,,7,may,2,-1,0,,15:47:48,15:50:01,0
39,engineer,single,tertiary,0,0,,11,jun,3,-1,0,,15:46:52,15:49:34,0
38,civil servant,married,secondary,1,0,,7,may,1,-1,0,,10:50:14,11:03:34,0
58,technician,married,secondary,0,0,telephone,30,nov,2,188,8,success,11:25:55,11:53:03,1
57,engineer,married,secondary,1,1,,16,may,1,-1,0,,16:06:03,16:06:50,0
34,technician,married,tertiary,1,0,mobile-phone,13,aug,1,-1,0,,14:02:04,14:14:10,0
37,technician,married,secondary,1,0,mobile-phone,17,nov,2,171,4,failure,12:59:55,13:20:05,1
37,data analyst,married,tertiary,1,0,mobile-phone,6,may,2,169,3,failure,16:46:09,16:47:33,0
27,engineer,married,secondary,1,1,,23,may,2,-1,0,,09:36:39,09:40:34,0
49,data analyst,single,tertiary,0,0,telephone,19,jun,5,211,2,failure,13:38:18,13:43:11,1
37,data analyst,divorced,tertiary,1,0,mobile-phone,30,apr,1,70,2,other,10:02:45,10:06:26,0
38,unemployed,married,primary,0,0,,12,jun,2,-1,0,,09:52:43,09:58:23,0
59,data analyst,married,tertiary,0,0,mobile-phone,18,mar,2,188,6,call-again,12:40:55,12:48:42,1
33,retired,married,tertiary,1,0,mobile-phone,20,apr,1,322,2,failure,10:42:30,10:44:39,0
57,retired,single,tertiary,1,1,,30,may,1,-1,0,,09:09:26,09:21:30,0
29,engineer,single,secondary,0,0,mobile-phone,9,nov,2,91,3,success,14:56:40,15:00:08,1
79,retired,married,primary,0,0,mobile-phone,11,dec,3,126,3,other,09:24:34,09:27:20,1
34,civil servant,married,secondary,1,0,mobile-phone,20,apr,2,350,1,failure,13:15:22,13:25:01,0
47,technician,married,secondary,0,0,mobile-phone,18,aug,4,-1,0,,16:29:44,16:41:21,1
33,construction worker,married,secondary,1,0,mobile-phone,7,may,6,-1,0,,13:56:42,13:58:49,0
51,data analyst,married,tertiary,0,0,,7,jun,1,-1,0,,16:04:36,16:09:38,1
35,engineer,single,secondary,1,0,mobile-phone,16,apr,1,318,1,other,11:56:46,12:01:21,0
32,entrepreneur,married,tertiary,1,0,,21,may,2,-1,0,,15:29:27,15:32:08,0
35,data analyst,married,tertiary,1,1,mobile-phone,21,nov,4,-1,0,,09:57:37,09:59:00,0
45,data analyst,married,tertiary,0,0,mobile-phone,10,sep,3,-1,0,,16:28:13,16:29:37,1
52,data analyst,married,tertiary,1,0,mobile-phone,4,feb,1,-1,0,,17:08:19,17:16:28,1
31,technician,married,tertiary,1,0,mobile-phone,21,dec,2,-1,0,,15:19:00,15:23:24,1
45,civil servant,married,secondary,1,0,,28,may,1,-1,0,,13:38:40,13:39:48,0
29,technician,married,secondary,0,0,mobile-phone,6,mar,1,-1,0,,16:44:19,16:47:34,1
27,technician,single,primary,1,0,,19,may,2,-1,0,,10:06:34,10:13:59,0
47,engineer,married,secondary,1,0,,19,may,3,-1,0,,13:06:57,13:08:19,0
51,unemployed,married,secondary,1,0,,14,may,1,-1,0,,17:14:44,17:21:35,0
29,construction worker,married,secondary,1,0,,8,may,1,-1,0,,09:42:01,09:45:15,0
61,self-employed,divorced,tertiary,0,0,mobile-phone,15,feb,3,189,1,success,16:53:39,17:00:13,1
54,technician,married,secondary,1,0,,5,may,1,-1,0,,09:44:34,09:48:34,0
22,data analyst,single,tertiary,0,1,mobile-phone,16,apr,3,-1,0,,11:50:46,11:56:16,1
53,construction worker,married,primary,1,0,mobile-phone,17,apr,1,-1,0,,17:16:56,17:26:13,0
36,construction worker,single,primary,1,0,,16,jun,2,-1,0,,17:45:35,17:47:39,0
33,civil servant,single,secondary,1,0,,20,may,3,-1,0,,17:55:15,17:57:29,0
31,technician,single,secondary,0,0,mobile-phone,4,feb,5,-1,0,,10:48:09,10:48:24,0
41,data analyst,married,tertiary,0,0,mobile-phone,7,aug,3,-1,0,,15:43:57,15:47:46,0
36,data analyst,single,tertiary,1,0,mobile-phone,6,may,2,188,1,success,17:30:38,17:44:37,1
27,engineer,single,secondary,1,0,mobile-phone,13,may,2,-1,0,,16:35:31,16:43:17,0
43,construction worker,single,secondary,1,0,,9,may,3,-1,0,,16:56:39,17:12:08,1
42,data analyst,married,primary,1,0,mobile-phone,20,aug,1,90,3,success,17:26:21,17:30:54,1
39,construction worker,married,secondary,1,1,,6,may,1,-1,0,,14:37:39,14:41:08,0
46,,single,primary,0,0,,18,jun,6,-1,0,,17:21:19,17:22:23,0
51,engineer,married,secondary,0,0,mobile-phone,7,dec,2,-1,0,,14:24:08,14:29:16,1
44,data analyst,married,tertiary,0,0,mobile-phone,11,mar,3,-1,0,,09:54:07,09:57:15,1
35,engineer,single,secondary,0,0,mobile-phone,12,aug,1,-1,0,,10:09:43,10:13:05,0
34,unemployed,married,secondary,0,0,mobile-phone,3,jun,2,71,1,success,14:12:35,14:16:57,1
59,unemployed,married,secondary,0,0,mobile-phone,8,mar,1,89,2,success,09:18:29,09:23:30,1
57,engineer,married,secondary,0,0,mobile-phone,3,feb,1,-1,0,,14:52:10,14:58:19,1
44,civil servant,married,secondary,0,0,mobile-phone,30,jul,1,-1,0,,11:01:57,11:03:33,0
28,engineer,single,secondary,1,0,mobile-phone,24,jul,1,-1,0,,12:18:30,12:26:04,1
38,retired,single,secondary,1,0,,2,jun,4,-1,0,,17:06:20,17:07:58,0
54,construction worker,married,primary,1,0,telephone,21,nov,1,130,3,call-again,09:13:55,09:19:07,0
42,data analyst,married,tertiary,0,0,mobile-phone,10,nov,2,-1,0,,14:41:07,14:44:20,1
50,,married,,0,0,mobile-phone,9,jul,1,683,6,failure,09:01:52,09:09:36,1
29,construction worker,married,secondary,1,0,mobile-phone,6,feb,3,-1,0,,12:19:39,12:22:57,0
34,self-employed,single,tertiary,0,0,mobile-phone,20,aug,1,-1,0,,17:36:00,17:43:54,1
41,construction worker,single,secondary,1,1,mobile-phone,7,jul,1,-1,0,,12:57:22,13:07:21,1
38,data analyst,married,tertiary,0,0,mobile-phone,4,aug,1,92,3,failure,09:19:29,09:21:48,1
39,civil servant,married,secondary,0,0,mobile-phone,4,feb,3,-1,0,,13:03:35,13:14:33,1
28,engineer,single,tertiary,1,0,mobile-phone,4,feb,1,-1,0,,15:28:24,15:30:30,0
31,data analyst,single,tertiary,1,1,,3,jun,6,-1,0,,10:59:31,11:09:20,0
29,self-employed,single,secondary,0,0,mobile-phone,28,jan,2,-1,0,,14:29:01,14:31:13,0
32,technician,single,tertiary,0,0,mobile-phone,22,apr,1,182,1,success,17:09:50,17:15:09,1
30,technician,married,secondary,1,0,,6,may,1,-1,0,,11:21:23,11:33:06,1
44,technician,married,secondary,0,0,mobile-phone,22,aug,2,-1,0,,12:55:15,13:03:55,1
36,data analyst,married,tertiary,1,0,mobile-phone,8,may,3,-1,0,,17:02:27,17:07:35,1
41,engineer,single,secondary,0,1,,11,jun,4,-1,0,,12:58:23,13:08:06,1
34,engineer,single,secondary,1,0,telephone,6,may,3,362,4,other,11:48:45,11:50:17,0
42,data analyst,married,tertiary,1,0,mobile-phone,30,apr,1,350,2,failure,10:20:09,10:25:25,1
39,data analyst,married,secondary,0,0,,16,jun,1,-1,0,,13:17:45,13:24:43,0
36,data analyst,divorced,tertiary,0,0,mobile-phone,22,aug,4,-1,0,,14:30:50,14:34:57,0
53,self-employed,married,tertiary,0,0,,18,jun,3,-1,0,,13:39:52,13:41:44,0
22,student,single,tertiary,0,0,mobile-phone,30,nov,5,103,1,success,17:05:21,17:09:41,1
37,civil servant,married,secondary,0,0,mobile-phone,14,aug,2,-1,0,,15:37:25,15:39:55,1
55,technician,married,secondary,0,1,mobile-phone,28,aug,17,-1,0,,10:22:11,10:22:30,0
67,retired,married,,0,0,telephone,14,sep,3,92,9,success,12:34:37,12:39:16,1
37,technician,married,secondary,1,0,,26,may,5,-1,0,,13:14:50,13:17:48,0
29,student,single,tertiary,0,0,mobile-phone,3,feb,2,-1,0,,17:06:25,17:08:48,0
26,technician,single,tertiary,0,0,mobile-phone,28,jan,2,-1,0,,11:46:24,11:48:08,0
29,engineer,married,secondary,0,0,mobile-phone,28,jan,1,-1,0,,10:09:39,10:10:59,0
36,construction worker,married,secondary,0,0,mobile-phone,31,jul,3,-1,0,,11:59:17,11:59:34,0
33,civil servant,married,secondary,1,0,mobile-phone,14,may,4,-1,0,,10:56:36,11:07:05,1
28,engineer,divorced,secondary,1,0,,8,may,2,-1,0,,15:46:38,15:54:00,1
56,data analyst,married,tertiary,0,0,mobile-phone,2,feb,1,-1,0,,10:53:51,10:54:40,0
32,entrepreneur,married,tertiary,1,0,mobile-phone,18,nov,1,-1,0,,14:30:05,14:30:48,0
53,unemployed,divorced,secondary,0,0,,20,jun,2,-1,0,,14:36:03,14:37:44,0
32,civil servant,married,secondary,0,0,mobile-phone,15,jun,1,-1,0,,17:56:22,18:02:34,1
32,construction worker,married,secondary,1,0,mobile-phone,17,apr,1,150,1,failure,16:51:46,17:01:20,1
33,data analyst,married,tertiary,0,0,mobile-phone,25,aug,8,-1,0,,12:37:16,12:39:17,0
59,retired,married,primary,0,0,mobile-phone,30,apr,1,-1,0,,09:40:58,09:47:38,1
36,data analyst,married,tertiary,1,0,mobile-phone,14,may,3,-1,0,,16:29:55,16:31:10,0
77,retired,married,secondary,0,0,telephone,26,jan,1,95,2,success,17:04:16,17:31:12,1
39,engineer,married,secondary,1,0,mobile-phone,4,may,3,-1,0,,15:01:02,15:04:12,0
36,data analyst,divorced,tertiary,0,0,mobile-phone,19,jul,2,164,2,failure,09:48:46,09:52:36,1
46,construction worker,married,secondary,1,1,,7,may,1,-1,0,,16:44:42,16:47:07,0
31,data analyst,married,tertiary,0,0,mobile-phone,20,aug,2,-1,0,,10:53:20,10:56:35,0
49,retired,married,primary,0,0,telephone,7,jul,1,-1,0,,10:06:19,10:12:47,1
33,technician,married,secondary,0,0,mobile-phone,14,aug,2,-1,0,,11:54:38,11:56:24,0
58,data analyst,married,tertiary,0,0,telephone,11,mar,2,91,1,failure,12:24:51,12:26:09,0
42,retired,married,primary,1,1,mobile-phone,25,jul,5,-1,0,,09:56:13,10:06:00,0
36,engineer,divorced,secondary,1,0,,16,may,2,-1,0,,14:29:27,14:32:53,0
40,retired,married,tertiary,0,0,,6,oct,1,-1,0,,11:17:45,11:17:51,0
52,civil servant,married,primary,0,1,mobile-phone,28,jul,5,-1,0,,17:35:13,17:36:08,0
33,technician,married,secondary,0,0,mobile-phone,4,may,1,-1,0,,12:15:42,12:21:49,1
48,construction worker,married,primary,0,0,mobile-phone,28,aug,10,-1,0,,16:11:39,16:14:17,0
